Institution,SpecNo,Taxon,Element,SampleNo,Pit,Uncal14CYBP,Uncal14CSE,Source,Quality
LACM,HC-53845,Canis dirus,dentary,215778,3,12580,30,O'Keefe et al. (2023),
LACM,HC-53849,Canis dirus,dentary,215781,3,12595,30,O'Keefe et al. (2023),
LACM,HC-53851,Canis dirus,dentary,215783,3,12580,30,O'Keefe et al. (2023),
LACM,HC-2002-L-12,Smilodon fatalis,dentary,215787,3,12460,35,O'Keefe et al. (2023),
LACM,HC-11534,Sylvilagus,,216760,10,5925,20,Fox et al. (2023),
LACM,HC-11587,Otospermophilus,,216761,10,11105,25,Fox et al. (2023),
LACM,HC-130857,Otospermophilus,,216762,29,43700,1600,Fox et al. (2023),
LACM,HC-142763,Sylvilagus,,216763,16,36880,660,Fox et al. (2023),
LACM,HC-142764,Sylvilagus,,216764,16,36350,620,Fox et al. (2023),
LACM,HC-142766,Sylvilagus,,216765,16,28600,240,Fox et al. (2023),
LACM,HC-142767,Sylvilagus,,216766,,13990,40,Fox et al. (2023),
LACM,HC-142772,Sylvilagus,,216767,,14390,40,Fox et al. (2023),
LACM,HC-142773,Sylvilagus,,216768,A,41000,1100,Fox et al. (2023),
LACM,HC-142778,Sylvilagus,,216769,A,42900,1400,Fox et al. (2023),
LACM,HC-142779,Sylvilagus,,216770,A,35740,570,Fox et al. (2023),
LACM,V-2173,Sylvilagus,,216771,16,30320,290,Fox et al. (2023),
LACM,V-4516,Otospermophilus,,216772,,2375,15,Fox et al. (2023),
LACM,V-4520,Otospermophilus,,216773,,31340,330,Fox et al. (2023),
LACM,V-4524,Otospermophilus,,216779,,31000,320,Fox et al. (2023),
LACM,V-4531,Otospermophilus,,216780,16,30900,320,Fox et al. (2023),
LACM,P23-35670,Otospermophilus,,216781,P23-7B,30970,320,Fox et al. (2023),
LACM,P23-35691,Mustela frenata,,216782,P23-7B,38750,840,Fox et al. (2023),
LACM,P23-35774,Leporidae,,216783,P23-7B,42600,1400,Fox et al. (2023),
LACM,P23-36332,Sylvilagus,,216784,P23-7B,41500,1200,Fox et al. (2023),
LACM,P23-36336,Sylvilagus,,216785,P23-7B,50200,3500,Fox et al. (2023),
LACM,HC-6483,Bison antiquus,dentary,217028,3,12885,30,O'Keefe et al. (2023),
LACM,HC-6722,Bison antiquus,dentary,217032,3,12535,30,O'Keefe et al. (2023),
LACM,HC-6726,Bison antiquus,dentary,217034,3,12650,35,O'Keefe et al. (2023),
LACM,HC-7052,Equus occidentalis,dentary,217047,67,11825,25,O'Keefe et al. (2023),
LACM,HC-Z5357,Equus occidentalis,dentary,217065,3,12520,30,O'Keefe et al. (2023),
LACM,V-2174,Sylvilagus,,217078,16,28500,240,Fox et al. (2023),
LACM,P23-36331,Sylvilagus,,217079,P23-7B,46200,2400,Fox et al. (2023),
LACM,HC-7088,Equus occidentalis,dentary,217449,3,11480,25,O'Keefe et al. (2023),
LACM,P23-2693,Sylvilagus sp.,Calcaneum L,220388,P23-1,33300,240,Fuller et al. (2020),
LACM,P23-4307,Sylvilagus sp.,Calcaneum L,220389,P23-1,35590,300,Fuller et al. (2020),
LACM,P23-21564,Spermophilus beecheyi,Femur R,220390,P23-1,31370,190,Fuller et al. (2020),
LACM,P23-16259,Bison antiquus,Tibia L,220738,P23-1,35410,360,Fuller et al. (2020),
LACM,P23-6549,Equus occidentalis,Humerus L,220740,P23-1,32470,250,Fuller et al. (2020),
LACM,P23-1619,Canis dirus,Tibia L,220742,P23-1,34630,330,Fuller et al. (2020),
LACM,P23-10571,Paramylodon harlani,Dermal ossicle,220746,P23-1,35050,360,Fuller et al. (2020),
LACM,HC-6198,Canis latrans,dentary,222272,67,11470,25,O'Keefe et al. (2023),
LACM,HC-6200,Canis latrans,dentary,222273,67,12425,25,O'Keefe et al. (2023),
LACM,HC-57379,Canis latrans,dentary,222276,67,12140,25,O'Keefe et al. (2023),
LACM,HC-57386,Canis latrans,dentary,222277,67,12015,25,O'Keefe et al. (2023),
LACM,HC-57393,Canis latrans,dentary,222278,67,12195,25,O'Keefe et al. (2023),
LACM,HC-57395,Canis latrans,dentary,222279,67,12215,30,O'Keefe et al. (2023),
LACM,HC-57396,Canis latrans,dentary,222280,67,9740,25,O'Keefe et al. (2023),
LACM,HC-6698,Bison antiquus,dentary,222281,67,12680,30,O'Keefe et al. (2023),
LACM,HC-6699,Bison antiquus,dentary,222282,67,12660,30,O'Keefe et al. (2023),
LACM,HC-55660,Canis dirus,dentary,222283,61,11820,25,O'Keefe et al. (2023),
LACM,HC-6821,Equus occidentalis,dentary,222284,61,11710,25,O'Keefe et al. (2023),
LACM,HC-6823,Equus occidentalis,dentary,222285,67,11630,30,O'Keefe et al. (2023),
LACM,HC-7068,Equus occidentalis,dentary,222286,67,11925,25,O'Keefe et al. (2023),
LACM,HC-2002-L-747,Smilodon fatalis,dentary,222448,61,12545,30,O'Keefe et al. (2023),
LACM,RLP-R30909,Smilodon fatalis,dentary,222450,91,11730,30,O'Keefe et al. (2023),
LACM,HC-2002-L-705,Smilodon fatalis,dentary,222677,61,11645,30,O'Keefe et al. (2023),
LACM,HC-11584,Otospermophilus,,223493,10,4505,20,Fox et al. (2023),
LACM,HC-143517,Sylvilagus,,223494,,2650,25,Fox et al. (2023),
LACM,P23-36572,Otospermophilus,,223496,P23-13,40640,800,Fox et al. (2023),
LACM,P23-36693,Sylvilagus,,223497,P23-13,39240,670,Fox et al. (2023),
LACM,P23-36859,Otospermophilus,,223498,P23-13,34800,390,Fox et al. (2023),
LACM,P23-36896,Sylvilagus,,223499,P23-13,33590,340,Fox et al. (2023),
LACM,P23-36907,Otospermophilus,,223500,P23-13,35230,410,Fox et al. (2023),
LACM,P23-36910,Otospermophilus,,223501,P23-13,35270,410,Fox et al. (2023),
LACM,P23-36989,Sylvilagus,,223502,P23-13,44000,1200,Fox et al. (2023),
LACM,P23-37612,Sylvilagus,,223503,P23-13,46200,1600,Fox et al. (2023),
LACM,P23-37651,Otospermophilus,,223504,P23-13,47400,1800,Fox et al. (2023),
LACM,P23-39811,Sylvilagus,,223505,P23-13,33260,320,Fox et al. (2023),
LACM,P23-39812,Sylvilagus,,223506,P23-13,36260,470,Fox et al. (2023),
LACM,P23-39818,Sylvilagus,,223507,P23-13,31230,270,Fox et al. (2023),
LACM,P23-39822,Sylvilagus,,223508,P23-13,31980,280,Fox et al. (2023),
LACM,P23-39825,Otospermophilus,,223509,P23-13,32660,300,Fox et al. (2023),
LACM,P23-40634,Sylvilagus,,223513,P23-14,25830,140,Fox et al. (2023),
LACM,P23-40635,Sylvilagus,,223514,P23-14,>51700,,Fox et al. (2023),
LACM,P23-40636,Sylvilagus,,223515,P23-14,27200,160,Fox et al. (2023),
LACM,P23-40637,Sylvilagus,,223516,P23-14,26780,160,Fox et al. (2023),
LACM,P23-40638,Sylvilagus,,223517,P23-14,36870,500,Fox et al. (2023),
LACM,P23-40639,Sylvilagus,,223518,P23-14,49800,2500,Fox et al. (2023),
LACM,P23-40640,Sylvilagus,,223519,P23-14,49400,2400,Fox et al. (2023),
LACM,P23-40641,Neotoma,,223520,P23-14,28750,190,Fox et al. (2023),
LACM,P23-40644,Sylvilagus,,223522,P23-14,38490,610,Fox et al. (2023),
LACM,P23-40647,Sylvilagus,,223523,P23-14,>49900,,Fox et al. (2023),
LACM,V-2641,Sylvilagus,,223524,P23-14,28090,180,Fox et al. (2023),
LACM,V-2644,Sylvilagus,,223525,4,31460,260,Fox et al. (2023),
LACM,V-2737,Sylvilagus,,223526,,30540,240,Fox et al. (2023),
LACM,V-2751,Sylvilagus,,223527,,35870,450,Fox et al. (2023),
LACM,V-4509,Otospermophilus,,223528,10,6155,25,Fox et al. (2023),
LACM,V-4519,Otospermophilus,,223529,,28370,180,Fox et al. (2023),
LACM,P23-35541,Sylvilagus,,223585,P23-13,39220,460,Fox et al. (2023),
LACM,P23-40642,Otospermophilus,,223587,P23-14,26710,110,Fox et al. (2023),
LACM,RLP-R36743,Canis dirus,dentary,228959,91,11845,30,O'Keefe et al. (2023),
LACM,HC-7085,Equus occidentalis,dentary,228961,3,12605,35,O'Keefe et al. (2023),
LACM,HC-2002-L-548,Smilodon fatalis,dentary,228963,61,11330,30,O'Keefe et al. (2023),
LACM,HC-2002-L-700,Smilodon fatalis,dentary,228965,61,11260,30,O'Keefe et al. (2023),
LACM,HC-142019,Camelops hesternus,R humerus,236961,67,11820,30,O'Keefe et al. (2023),
LACM,HC-143550,Camelops hesternus,R humerus,236962,61,12535,35,O'Keefe et al. (2023),
LACM,HC-143551,Camelops hesternus,R humerus,236963,61,11880,30,O'Keefe et al. (2023),
LACM,HC-143552,Camelops hesternus,R humerus,236964,61,12550,30,O'Keefe et al. (2023),
LACM,HC-143553,Camelops hesternus,R humerus,236965,67,12480,30,O'Keefe et al. (2023),
LACM,HC-143554,Camelops hesternus,R humerus,236966,67,12555,30,O'Keefe et al. (2023),
LACM,HC-143555,Camelops hesternus,R humerus,236967,67,12395,30,O'Keefe et al. (2023),
LACM,HC-143556,Camelops hesternus,R humerus,236968,67,12495,35,O'Keefe et al. (2023),
LACM,HC-Z1273,Camelops hesternus,metatarsal,236969,61,12205,30,O'Keefe et al. (2023),
LACM,HC-Z1281,Camelops hesternus,metatarsal,236970,61,12575,30,O'Keefe et al. (2023),
LACM,HC-X7109,Pantera atrox,L innominate,259718,60,12465,30,O'Keefe et al. (2023),
LACM,HC-14610,Pantera atrox,R radius,259724,67,11160,30,O'Keefe et al. (2023),
LACM,HC-14613,Pantera atrox,L radius,259725,77,11240,30,O'Keefe et al. (2023),
LACM,HC-14628,Pantera atrox,L ulna,259727,67,11405,30,O'Keefe et al. (2023),
LACM,HC-X6957,Pantera atrox,L radius,259730,4,12675,30,O'Keefe et al. (2023),
LACM,HC-1702-L-11,Paramylodon harlani,L tibia,264033,67,12175,30,O'Keefe et al. (2023),
LACM,HC-1702-L-19,Paramylodon harlani,L tibia,264034,67,12375,30,O'Keefe et al. (2023),
LACM,HC-1702-L-22,Paramylodon harlani,L tibia,264035,61,11960,30,O'Keefe et al. (2023),
LACM,HC-1702-L-23,Paramylodon harlani,L tibia,264036,67,12185,30,O'Keefe et al. (2023),
LACM,HC-1702-L-26,Paramylodon harlani,L tibia,264037,61,12020,30,O'Keefe et al. (2023),
LACM,HC-1702-L-42,Paramylodon harlani,L tibia,264038,61,11940,30,O'Keefe et al. (2023),
LACM,HC-1702-L-44,Paramylodon harlani,L tibia,264039,61,12560,30,O'Keefe et al. (2023),
LACM,HC-12107,Paramylodon harlani,L tibia,264042,67,12265,30,O'Keefe et al. (2023),
LACM,HC-5195E,Dicheirus sp.,,1359933,A,1110,20,Holden et al. (2016),Chitin
LACM,HC-X9982,Canis latrans,Ulna R,ACRF814,16,29860,190,Coltrain et al. (2004),1
LACM,HC-116051,Canis latrans,Ulna L,ACRF815,A,46800,2500,Coltrain et al. (2004),1
LACM,HC-133499,Ovis sp.,Atlas,ACRF816,4,185,30,Coltrain et al. (2004),1
LACM,RLP-R42063,Arctodus simus,Vertebra cervical VI,ACRF819,91,28350,470,Coltrain et al. (2004),1
LACM,RLP-R19258,Arctodus simus,Humerus L,ACRF820,91,27330,140,Coltrain et al. (2004),1
LACM,HC-Z4484,Equus sp.,Toe,ACRF8231,4,28600,190,Coltrain et al. (2004),1
LACM,HC-Z4579,Equus sp.,Metatarsal L,ACRF826,60,26320,240,Coltrain et al. (2004),1
LACM,HC-A883,Smilodon fatalis,Femur R,ACRF827,3,14360,35,Coltrain et al. (2004),1
LACM,HC-V5203,Canis familiaris,Mandible,ACRF829,61/67,6360,20,Coltrain et al. (2004),1
LACM,HC-Z4450,Equus sp.,Toe,ACRF830,3,14250,40,Coltrain et al. (2004),1
LACM,HC-28501,Equus sp.,Toe,ACRF832,3,14745,40,Coltrain et al. (2004),1
LACM,HC-Z4360,Equus sp.,Toe,ACRF833,3,12820,90,Coltrain et al. (2004),1
LACM,RLP-R50477,Arctodus simus,Metatarsal R,ACRF834,91,28130,330,Coltrain et al. (2004),1
LACM,P23-1619,Canis dirus,,fake1,P23-1,33380,800,Fuller et al. (2014),3–30 kDa
LACM,HC-X7113,Panthera atrox,,fake10,61,11580,40,Fuller et al. (2014),3–30 kDa
LACM,170103,Tanystoma maculicolle,,fake100,91,205,20,Holden et al. (2017),Chitin
LACM,170104,Tanystoma maculicolle,,fake101,91,190,20,Holden et al. (2017),Chitin
LACM,170105,Tanystoma maculicolle,,fake102,91,190,20,Holden et al. (2017),Chitin
LACM,170107,Tanystoma maculicolle,,fake103,91,205,20,Holden et al. (2017),Chitin
LACM,170108,Tanystoma maculicolle,,fake104,91,175,20,Holden et al. (2017),Chitin
LACM,170735,Tanystoma maculicolle,,fake105,91,245,15,Holden et al. (2017),Chitin
LACM,170734,Pterostichus illustris,,fake106,91,9425,40,Holden et al. (2017),Chitin
LACM,170752,Pterostichus illustris,,fake107,91,28390,160,Holden et al. (2017),Chitin
LACM,170086,Calathus ruficollis,,fake108,91,765,35,Holden et al. (2017),Chitin
LACM,170739,Calathus ruficollis,,fake109,91,28200,1500,Holden et al. (2017),Chitin
LACM,HC-H1872,Canis dirus,,fake11,61,11820,30,Fuller et al. (2014),3–30 kDa
LACM,170751,Calathus ruficollis,,fake110,91,28100,1700,Holden et al. (2017),Chitin
LACM,169851,Tanystoma maculicolle,,fake111,A,485,15,Holden et al. (2017),Chitin
LACM,169856,Tanystoma maculicolle,,fake112,A,360,15,Holden et al. (2017),Chitin
LACM,169858,Tanystoma maculicolle,,fake113,A,280,15,Holden et al. (2017),Chitin
LACM,169862,Tanystoma maculicolle,,fake114,A,265,15,Holden et al. (2017),Chitin
LACM,169863,Tanystoma maculicolle,,fake115,A,470,20,Holden et al. (2017),Chitin
LACM,169864,Tanystoma maculicolle,,fake116,A,455,20,Holden et al. (2017),Chitin
LACM,169865,Tanystoma maculicolle,,fake117,A,285,15,Holden et al. (2017),Chitin
LACM,169870,Tanystoma maculicolle,,fake118,A,800,25,Holden et al. (2017),Chitin
LACM,169871,Tanystoma maculicolle,,fake119,A,475,20,Holden et al. (2017),Chitin
LACM,HC-Y5504,Bison antiquus,,fake12,36,29150,200,Fuller et al. (2014),3–30 kDa
LACM,169872,Tanystoma maculicolle,,fake120,A,295,15,Holden et al. (2017),Chitin
LACM,169873,Tanystoma maculicolle,,fake121,A,270,15,Holden et al. (2017),Chitin
LACM,169854,Pterostichus illustris,,fake122,A,390,15,Holden et al. (2017),Chitin
LACM,169855,Pterostichus illustris,,fake123,A,1095,15,Holden et al. (2017),Chitin
LACM,169859,Pterostichus illustris,,fake124,A,46800,2300,Holden et al. (2017),Chitin
LACM,none,Pterostichus illustris,,fake125,A,46400,2300,Holden et al. (2017),Chitin
LACM,169860,Pterostichus illustris,,fake126,A,290,25,Holden et al. (2017),Chitin
LACM,169866,Pterostichus illustris,,fake127,A,230,20,Holden et al. (2017),Chitin
LACM,169869,Pterostichus illustris,,fake128,A,495,15,Holden et al. (2017),Chitin
LACM,169861,Calathus ruficollis,,fake129,A,1210,15,Holden et al. (2017),Chitin
LACM,HC-123491,Nothrotheriops shastensis,,fake13,91,28290,230,Fuller et al. (2014),XAD Amino Acids
LACM,172369,Eleodes acuticaudus,,fake130,A,740,25,Holden et al. (2017),Chitin
LACM,172370,Eleodes acuticaudus,,fake131,A,2335,25,Holden et al. (2017),Chitin
LACM,172371,Eleodes acuticaudus,,fake132,A,2590,25,Holden et al. (2017),Chitin
LACM,172345,Apsena laticornis,,fake133,A,2380,25,Holden et al. (2017),Chitin
LACM,172346,Apsena laticornis,,fake134,A,2305,20,Holden et al. (2017),Chitin
LACM,172348,Apsena laticornis,,fake135,A,495,25,Holden et al. (2017),Chitin
LACM,173030,Nyctoporis carinata,,fake136,A,705,15,Holden et al. (2017),Chitin
LACM,173031,Nyctoporis carinata,,fake137,A,45600,1000,Holden et al. (2017),Chitin
LACM,173032,Nyctoporis carinata,,fake138,A,210,20,Holden et al. (2017),Chitin
LACM,173033,Nyctoporis carinata,,fake139,A,2930,15,Holden et al. (2017),Chitin
LACM,RLP-R16695,Smilodon fatalis,,fake14,91,28200,1400,Fuller et al. (2014),3–30 kDa
LACM,173035,Nyctoporis carinata,,fake140,A,490,15,Holden et al. (2017),Chitin
LACM,173036,Nyctoporis carinata,,fake141,A,2215,15,Holden et al. (2017),Chitin
LACM,173037,Nyctoporis carinata,,fake142,A,265,20,Holden et al. (2017),Chitin
LACM,173038,Nyctoporis carinata,,fake143,A,285,20,Holden et al. (2017),Chitin
LACM,173039,Nyctoporis carinata,,fake144,A,1670,15,Holden et al. (2017),Chitin
LACM,173040,Nyctoporis carinata,,fake145,A,425,20,Holden et al. (2017),Chitin
LACM,173041,Nyctoporis carinata,,fake146,A,460,15,Holden et al. (2017),Chitin
LACM,173042,Nyctoporis carinata,,fake147,A,2250,15,Holden et al. (2017),Chitin
LACM,173044,Nyctoporis carinata,,fake148,A,2385,15,Holden et al. (2017),Chitin
LACM,173047,Nyctoporis carinata,,fake149,A,2275,15,Holden et al. (2017),Chitin
LACM,RLP-R16695,Smilodon fatalis,,fake15,91,27800,240,Fuller et al. (2014),3–30 kDa
LACM,173048,Nyctoporis carinata,,fake150,A,250,15,Holden et al. (2017),Chitin
LACM,173024,Eleodes acuticaudus,,fake151,B,2275,15,Holden et al. (2017),Chitin
LACM,172347,Apsena laticornis,,fake152,B,8535,25,Holden et al. (2017),Chitin
LACM,172349,Apsena laticornis,,fake153,B,185,25,Holden et al. (2017),Chitin
LACM,173043,Nyctoporis carinata,,fake154,B,730,15,Holden et al. (2017),Chitin
LACM,173049,Nyctoporis carinata,,fake155,B,420,15,Holden et al. (2017),Chitin
LACM,173050,Nyctoporis carinata,,fake156,B,250,20,Holden et al. (2017),Chitin
LACM,173051,Nyctoporis carinata,,fake157,B,480,15,Holden et al. (2017),Chitin
LACM,169883,Pterostichus illustris,,fake158,X,435,15,Holden et al. (2017),Chitin
LACM,HC-A979,Smilodon fatalis,femur,fake159,67,11640,135,O'Keefe et al. (2023),
LACM,RLP-R16695,Smilodon fatalis,,fake16,91,27180,250,Fuller et al. (2014),3–30 kDa
LACM,HC-A498,Smilodon fatalis,femur,fake160,67,12000,125,O'Keefe et al. (2023),
LACM,HC-A503,Smilodon fatalis,femur,fake161,67,12200,200,O'Keefe et al. (2023),
LACM,HC-A642,Smilodon fatalis,femur,fake162,3,12650,160,O'Keefe et al. (2023),
LACM,P23-33721a,Neotoma,coprolite,fake163,P23-1,46900,1500,Mychajliw et al. (2020),
LACM,P23-33721b,Neotoma,coprolite,fake164,P23-1,49000,2600,Mychajliw et al. (2020),
LACM,P23-39548,Neotoma,coprolite,fake165,P23-1,46140,810,Mychajliw et al. (2020),
LACM,P23-39539,Neotoma,coprolite,fake166,P23-1,47600,1300,Mychajliw et al. (2020),
LACM,RLP-R16695,Smilodon fatalis,,fake17,91,27030,220,Fuller et al. (2014),3–30 kDa
LACM,RLP-R16695,Smilodon fatalis,,fake18,91,27070,250,Fuller et al. (2014),3–30 kDa
LACM,RLP-R34802,Smilodon fatalis,,fake19,91,28660,330,Fuller et al. (2014),3–30 kDa
LACM,P23-11369,Canis dirus,,fake2,P23-1,36690,890,Fuller et al. (2014),3–30 kDa
LACM,RLP-R34802,Smilodon fatalis,,fake20,91,27500,240,Fuller et al. (2014),3–30 kDa
LACM,RLP-R34802,Smilodon fatalis,,fake21,91,28220,260,Fuller et al. (2014),3–30 kDa
LACM,RLP-R34802,Smilodon fatalis,,fake22,91,28590,300,Fuller et al. (2014),3–30 kDa
LACM,RLP-R42645,Smilodon fatalis,,fake23,91,41800,1400,Fuller et al. (2014),3–30 kDa
LACM,RLP-R42645,Smilodon fatalis,,fake24,91,39800,960,Fuller et al. (2014),3–30 kDa
LACM,RLP-R49462,Canis dirus,,fake25,91,41300,1200,Fuller et al. (2014),3–30 kDa
LACM,RLP-R14493,Canis dirus,,fake26,91,14280,60,Fuller et al. (2014),3–30 kDa
LACM,RLP-R27398,Canis dirus,,fake27,91,24830,210,Fuller et al. (2014),3–30 kDa
LACM,RLP-R24956,Canis dirus,,fake28,91,27500,280,Fuller et al. (2014),3–30 kDa
LACM,RLP-R36388,Nothrotheriops shastensis,,fake29,91,28590,240,Fuller et al. (2014),XAD Amino Acids
LACM,P23-12101,Canis dirus,,fake3,P23-14,">45,200",Limit,Fuller et al. (2014),3–30 kDa
LACM,RLP-R38722,Nothrotheriops shastensis,,fake30,91,28530,240,Fuller et al. (2014),XAD Amino Acids
LACM,RLP-R22385,Nothrotheriops shastensis,,fake31,91,28350,240,Fuller et al. (2014),XAD Amino Acids
LACM,RLP-R22811c,Puma concolor,,fake32,91,28650,250,Fuller et al. (2014),XAD Amino Acids
LACM,RLP-R54033,Puma concolor,,fake33,91,28650,240,Fuller et al. (2014),XAD Amino Acids
UCMP,none,Smilodon fatalis,Humerus,fake34,2051,13950,1570,Marcus and Berger (1984),2
UCMP,148877,Gymnogyps californianus,Ulna R,fake35,2051,19030,280,Fox-Dobbs et al. (2006),1
UCMP,148880,Gymnogyps californianus,Ulna R,fake36,2051,21260,370,Fox-Dobbs et al. (2006),1
UCMP,148878,Gymnogyps californianus,Ulna L,fake37,2051,22710,450,Fox-Dobbs et al. (2006),1
UCMP,148875,Gymnogyps californianus,Ulna R,fake38,2051,24230,550,Fox-Dobbs et al. (2006),1
UCMP,148885,Gymnogyps californianus,Ulna R,fake39,2051,24900,600,Fox-Dobbs et al. (2006),1
LACM,P23-12102,Smilodon fatalis,,fake4,P23-14,43200,1100,Fuller et al. (2014),3–30 kDa
UCMP,148881,Gymnogyps californianus,Ulna L,fake40,2051,30700,1300,Fox-Dobbs et al. (2006),1
UCMP,148876,Gymnogyps californianus,Ulna R,fake41,2051,30900,1300,Fox-Dobbs et al. (2006),1
UCMP,148884,Gymnogyps californianus,Ulna R,fake42,2051,31000,1300,Fox-Dobbs et al. (2006),1
UCMP,24334,Canis dirus,Skull,fake43,2051,19380,100,O'Keefe et al. (2009),1
UCMP,24346,Canis dirus,Skull,fake44,2051,19580,190,O'Keefe et al. (2009),1
UCMP,24314,Canis dirus,Skull,fake45,2051,19640,100,O'Keefe et al. (2009),1
UCMP,24332,Canis dirus,Skull,fake46,2051,23080,150,O'Keefe et al. (2009),1
UCMP,24346,Canis dirus,Skull,fake47,2051,23110,160,O'Keefe et al. (2009),1
UCMP,24319,Canis dirus,Skull,fake48,2051,23600,330,O'Keefe et al. (2009),1
UCMP,24345,Canis dirus,Skull,fake49,2051,24000,340,O'Keefe et al. (2009),1
LACM,P23-15027,Canis dirus,,fake5,P23-13,32340,300,Fuller et al. (2014),3–30 kDa
UCMP,24343,Canis dirus,Skull,fake50,2051,25240,400,O'Keefe et al. (2009),1
LACM,173025,Eleodes acuticaudus,,fake51,2,1060,20,Holden et al. (2017),Chitin
LACM,172341,Apsena laticornis,,fake52,4,2390,25,Holden et al. (2017),Chitin
LACM,173026,Eleodes acuticaudus,,fake53,9,1175,15,Holden et al. (2017),Chitin
LACM,172343,Apsena laticornis,,fake54,9,2705,25,Holden et al. (2017),Chitin
LACM,172344,Apsena laticornis,,fake55,9,1105,25,Holden et al. (2017),Chitin
LACM,170755,Tanystoma maculicolle,,fake56,P23-5B,>27500,,Holden et al. (2017),Chitin
LACM,170757,Calathus ruficollis,,fake57,P23-5B,>34500,,Holden et al. (2017),Chitin
LACM,170758,Calathus ruficollis,,fake58,P23-5B,>30600,,Holden et al. (2017),Chitin
LACM,173027,Eleodes acuticaudus,,fake59,28,7165,20,Holden et al. (2017),Chitin
LACM,P23-15023,Canis dirus,,fake6,P23-1,35400,420,Fuller et al. (2014),3–30 kDa
LACM,173028,Eleodes acuticaudus,,fake60,28,8830,20,Holden et al. (2017),Chitin
LACM,169876,Pterostichus illustris,,fake61,29,765,15,Holden et al. (2017),Chitin
LACM,169877,Pterostichus illustris,,fake62,29,12910,40,Holden et al. (2017),Chitin
LACM,169878,Pterostichus illustris,,fake63,29,9120,60,Holden et al. (2017),Chitin
LACM,172366,Eleodes acuticaudus,,fake64,29,3250,25,Holden et al. (2017),Chitin
LACM,172367,Eleodes acuticaudus,,fake65,29,540,25,Holden et al. (2017),Chitin
LACM,172368,Eleodes acuticaudus,,fake66,29,1380,25,Holden et al. (2017),Chitin
LACM,172350,Apsena laticornis,,fake67,29,575,25,Holden et al. (2017),Chitin
LACM,172352,Apsena laticornis,,fake68,29,550,20,Holden et al. (2017),Chitin
LACM,172353,Apsena laticornis,,fake69,29,1180,25,Holden et al. (2017),Chitin
LACM,P23-15065,Smilodon fatalis,,fake7,P23-1,35000,400,Fuller et al. (2014),3–30 kDa
LACM,172354,Apsena laticornis,,fake70,29,970,25,Holden et al. (2017),Chitin
LACM,172355,Apsena laticornis,,fake71,29,370,25,Holden et al. (2017),Chitin
LACM,172356,Apsena laticornis,,fake72,29,370,25,Holden et al. (2017),Chitin
LACM,172357,Apsena laticornis,,fake73,29,1740,25,Holden et al. (2017),Chitin
LACM,172358,Apsena laticornis,,fake74,29,485,25,Holden et al. (2017),Chitin
LACM,173029,Apsena laticornis,,fake75,36,815,15,Holden et al. (2017),Chitin
LACM,172365,Eleodes acuticaudus,,fake76,37,1255,25,Holden et al. (2017),Chitin
LACM,172360,Eleodes acuticaudus,,fake77,81,2655,25,Holden et al. (2017),Chitin
LACM,172361,Eleodes acuticaudus,,fake78,81,2635,25,Holden et al. (2017),Chitin
LACM,172364,Eleodes acuticaudus,,fake79,81,2555,25,Holden et al. (2017),Chitin
LACM,HC-H1908,Canis dirus,,fake8,60,25230,220,Fuller et al. (2014),3–30 kDa
LACM,172342,Apsena laticornis,,fake80,81,3060,25,Holden et al. (2017),Chitin
LACM,172359,Apsena laticornis,,fake81,81,10520,30,Holden et al. (2017),Chitin
LACM,167050,Tanystoma maculicolle,,fake82,91,230,20,Holden et al. (2017),Chitin
LACM,167051,Tanystoma maculicolle,,fake83,91,160,20,Holden et al. (2017),Chitin
LACM,167052,Tanystoma maculicolle,,fake84,91,195,20,Holden et al. (2017),Chitin
LACM,167064,Tanystoma maculicolle,,fake85,91,165,30,Holden et al. (2017),Chitin
LACM,170076,Tanystoma maculicolle,,fake86,91,225,25,Holden et al. (2017),Chitin
LACM,170078,Tanystoma maculicolle,,fake87,91,165,30,Holden et al. (2017),Chitin
LACM,170079,Tanystoma maculicolle,,fake88,91,1165,30,Holden et al. (2017),Chitin
LACM,170083,Tanystoma maculicolle,,fake89,91,305,25,Holden et al. (2017),Chitin
LACM,HC-H1789,Canis dirus,,fake9,67,12605,40,Fuller et al. (2014),3–30 kDa
LACM,170084,Tanystoma maculicolle,,fake90,91,220,20,Holden et al. (2017),Chitin
LACM,170085,Tanystoma maculicolle,,fake91,91,195,20,Holden et al. (2017),Chitin
LACM,170087,Tanystoma maculicolle,,fake92,91,330,25,Holden et al. (2017),Chitin
LACM,170089,Tanystoma maculicolle,,fake93,91,205,25,Holden et al. (2017),Chitin
LACM,170097,Tanystoma maculicolle,,fake94,91,190,20,Holden et al. (2017),Chitin
LACM,170098,Tanystoma maculicolle,,fake95,91,180,20,Holden et al. (2017),Chitin
LACM,170099,Tanystoma maculicolle,,fake96,91,195,25,Holden et al. (2017),Chitin
LACM,170100,Tanystoma maculicolle,,fake97,91,150,25,Holden et al. (2017),Chitin
LACM,170101,Tanystoma maculicolle,,fake98,91,175,20,Holden et al. (2017),Chitin
LACM,170102,Tanystoma maculicolle,,fake99,91,165,20,Holden et al. (2017),Chitin
LACM,HC-Y5495,Bison antiquus,Metacarpal L,QC27711,16,>32850,Limit,Marcus and Berger (1984),2
LACM,HC-Y5611,Bison antiquus,Metatarsal R,QC278,16,24400,535,Marcus and Berger (1984),2
